group,value,metric,slope,ci_lo,ci_hi,p,n,intercept,r2
n,1,frobenius,0.0,,,,36,0.0,
n,2,frobenius,-0.0022369962194304844,-0.007510431325111451,0.003036438886250483,0.3946832518296702,36,1.2801102881479745,0.021390730401341384
n,3,frobenius,-0.007808011033874022,-0.01726555496348235,0.0016495328957343049,0.10255858489962914,36,1.9623537575355683,0.07646301121488533
n,4,frobenius,-0.011055159327959791,-0.021911479543205825,-0.00019883911271375773,0.0462159519262996,30,2.8858578787909615,0.13449572260809511
