group,value,metric,slope,ci_lo,ci_hi,p,n,intercept,r2
n,1,distinct_2,-0.06981178073267932,-0.08912870896197031,-0.05049485250338834,1.1118280132589486e-05,12,0.8345134823676552,0.8663876905140534
n,2,distinct_2,-0.0789778667807355,-0.09270900717544424,-0.06524672638602676,1.570362838692769e-07,12,0.8308372435248321,0.9426082894797626
n,4,distinct_2,-0.07435295402486422,-0.08427894994213272,-0.06442695810759572,1.2480141075798588e-08,12,0.798316868721598,0.9653462421316951
n,8,distinct_2,-0.07514628522034238,-0.0881415182231769,-0.06215105221750786,1.4926952689706762e-07,12,0.7578783377504681,0.943184694027418
n,16,distinct_2,-0.06045464100853143,-0.0731308374154277,-0.04777844460163516,9.084049259388971e-07,12,0.7345329151052493,0.9186454148588573
