mode,metric,slope,ci_lo,ci_hi,p,n,intercept,r2
data_segment,hsd,-0.012862657961986991,-0.06059072570096088,0.0348654097769869,0.5852984684000095,30,2.6074349886619173,0.010766807519113597
data_segment,mean_pairwise_dist,-0.00024962428242269075,-0.016307333176331002,0.015808084611485623,0.9748228379900393,30,0.4353382047679689,3.621306648056834e-05
model_family,hsd,-0.017027839654052,-0.04029715173180837,0.006241472423704372,0.14507316279286187,30,3.3364985444222923,0.07428543068754047
model_family,mean_pairwise_dist,-0.004180094087966765,-0.008505327344446941,0.00014513916851341228,0.057647469722507276,30,0.7908991442786323,0.12278210164082716
persona,hsd,-0.01476105384362049,-0.06365919718612738,0.0341370894988864,0.5413361054852655,30,2.6268309598022626,0.01347205702546175
persona,mean_pairwise_dist,-0.004484446602638322,-0.020975789138525214,0.012006895933248572,0.5819408135904428,30,0.46629376577006443,0.010959588745370103
single,hsd,-0.06462970028315815,-0.1163545492897996,-0.012904851276516693,0.016172118925373475,30,2.790492871172881,0.18960051349271898
single,mean_pairwise_dist,-0.0186338087223997,-0.03492150507872089,-0.002346112366078512,0.026435433779231597,30,0.4952772286203172,0.1639750295813265
