group,value,metric,slope,ci_lo,ci_hi,p,n,intercept,r2
n,1,distinct_2,-0.0006306504097403048,-0.0025145163381301945,0.001253215518649585,0.5009071967555714,36,0.9627732987233861,0.013430069392329498
n,2,distinct_2,0.000869305926023227,-0.0012320573313632664,0.00297066918340972,0.4063828444926334,36,0.9654591576147968,0.020364811249542564
n,3,distinct_2,-0.001072866972755346,-0.0026867981238347903,0.0005410641783240983,0.18563632017317594,36,0.9638557919642009,0.05094328106365145
n,4,distinct_2,0.0004228765265399029,-0.001371157940596287,0.002216910993676093,0.6329663949092086,30,0.9025610378868462,0.008257320221950318
