group,value,metric,slope,ci_lo,ci_hi,p,n,intercept,r2
n,1,mean_perplexity,80.46040244242204,64.93412751555239,95.98667736929168,4.192788266729188e-07,12,-31.714875078979418,0.9302289152435013
n,2,mean_perplexity,44.42092808414,40.48344229473523,48.35841387354478,2.2736997474583142e-10,12,30.797300407061442,0.9844203102423684
n,4,mean_perplexity,37.001706339308896,34.31225587951803,39.691156799099765,3.199077200800527e-11,12,46.83107491978234,0.9894706393207323
n,8,mean_perplexity,30.083924519769138,28.76778414513029,31.400064894407986,2.0591877906675714e-13,12,61.32804164852435,0.9961595700156118
n,16,mean_perplexity,17.434515729008425,16.957954359721295,17.911077098295554,1.8870093475223547e-15,12,74.78905603162272,0.9984972723674589
