n,seed,mode,base_model,iters,iter,mean_perplexity,median_perplexity,std_perplexity,distinct_2,mean_pairwise_dist,frobenius,hsd
2,2,model_family,n/a,12,1,,,,0.9622641509433962,0.8351758718490601,1.181117057800293,1.972893830317752
2,2,model_family,n/a,12,2,,,,0.9882352941176471,0.9346363544464111,1.3217754364013672,1.9957290102713978
2,2,model_family,n/a,12,3,,,,0.981651376146789,0.8722009658813477,1.2334784269332886,1.9836894272937022
2,2,model_family,n/a,12,4,,,,0.9823008849557522,0.8748327493667603,1.237200379371643,1.9843534397404163
2,2,model_family,n/a,12,5,,,,0.9369369369369369,0.8844682574272156,1.2508269548416138,1.9866669782132875
2,2,model_family,n/a,12,6,,,,0.9347826086956522,0.9203540086746216,1.301577091217041,1.9936596769602617
2,2,model_family,n/a,12,7,,,,1.0,0.9098526239395142,1.2867258787155151,1.991878833973033
2,2,model_family,n/a,12,8,,,,0.9914529914529915,0.9045385122299194,1.2792106866836548,1.9908938956067292
2,2,model_family,n/a,12,9,,,,0.9814814814814815,0.8155138492584229,1.153310775756836,1.9660602143663701
2,2,model_family,n/a,12,10,,,,0.9722222222222222,0.8859348297119141,1.2529010772705078,1.9870030672152421
2,2,model_family,n/a,12,11,,,,0.972972972972973,0.8584122657775879,1.2139782905578613,1.9799860371327538
2,2,model_family,n/a,12,12,,,,1.0,0.9006537795066833,1.2737168073654175,1.9901383705790157
3,0,model_family,n/a,12,1,,,,0.9942196531791907,0.8982236385345459,2.2014763355255127,2.9670244466801026
3,0,model_family,n/a,12,2,,,,0.9512195121951219,0.8051286339759827,2.000816583633423,2.83244573666147
3,0,model_family,n/a,12,3,,,,0.9516129032258065,0.6910648345947266,1.8158308267593384,2.5032434732038347
3,0,model_family,n/a,12,4,,,,0.9575471698113207,0.6731436848640442,1.8349884748458862,2.3509079029143636
3,0,model_family,n/a,12,5,,,,0.9562841530054644,0.6796031594276428,1.7783669233322144,2.5061794579370487
3,0,model_family,n/a,12,6,,,,0.9583333333333334,0.8284494876861572,2.0510153770446777,2.868912802707841
3,0,model_family,n/a,12,7,,,,0.9395604395604396,0.7189314961433411,1.8474607467651367,2.613860648992467
3,0,model_family,n/a,12,8,,,,0.9476439790575916,0.753997802734375,1.9156309366226196,2.6936632393755264
3,0,model_family,n/a,12,9,,,,0.9657142857142857,0.7404335141181946,1.9456994533538818,2.5472038988075147
3,0,model_family,n/a,12,10,,,,0.9144385026737968,0.7281989455223083,1.8625153303146362,2.641540088580958
3,0,model_family,n/a,12,11,,,,0.9791666666666666,0.7937911152839661,1.997054100036621,2.7697547373430873
3,0,model_family,n/a,12,12,,,,0.9454545454545454,0.6379199624061584,1.7118494510650635,2.3736298229803228
3,1,model_family,n/a,12,1,,,,0.9497206703910615,0.7576273083686829,1.9071882963180542,2.7326638930038074
3,1,model_family,n/a,12,2,,,,0.9285714285714286,0.6967142224311829,1.9149112701416016,2.3354467074417786
3,1,model_family,n/a,12,3,,,,0.975609756097561,0.6996665000915527,1.8280656337738037,2.532622901139794
