group,value,metric,slope,ci_lo,ci_hi,p,n,intercept,r2
n,1,hsd,0.0,,,,36,1.0,
n,2,hsd,-0.0003624333047034731,-0.0011736163246830258,0.00044874971527607965,0.3702701560530063,36,1.9899326386595086,0.0236747827763789
n,3,hsd,-0.010135796985761234,-0.02787886625994731,0.007607272288424843,0.2537576611200918,36,2.66667164249585,0.03812838579774276
n,4,hsd,-0.017027839654052,-0.04029715173180837,0.006241472423704372,0.14507316279286187,30,3.3364985444222923,0.07428543068754047
