group,value,metric,slope,ci_lo,ci_hi,p,n,intercept,r2
n,1,hsd,-1.327839567889168,-2.4327876187726334,-0.2228915170057022,0.02318798284809695,12,25.845634831565512,0.41757360730208504
n,2,hsd,-3.433150609829018,-4.396348936691837,-2.4699522829661986,1.255177887295485e-05,12,45.38376175056813,0.8631492664129162
n,4,hsd,-5.9287259381543755,-6.75606390551382,-5.1013879707949314,1.9155406710926114e-08,12,78.28285763302708,0.962255886174339
n,8,hsd,-9.083555963283645,-11.13428692295112,-7.032825003616171,1.7929110395612732e-06,12,111.78767578624706,0.9068940116240484
n,16,hsd,-7.670762012374111,-8.895897667636605,-6.4456263571116175,7.004384191802564e-08,12,117.90363220269992,0.9511295312975059
