group,value,metric,slope,ci_lo,ci_hi,p,n,intercept,r2
n,1,mean_pairwise_dist,-0.011894281421388904,-0.02191246406068508,-0.001876098782092727,0.024505739720047395,12,0.9414317011833191,0.4117005655149953
n,2,mean_pairwise_dist,-0.012859440701348443,-0.016832466823786266,-0.00888641457891062,2.8856514891409006e-05,12,0.9556594630082449,0.8387353665024757
n,4,mean_pairwise_dist,-0.015356553452355514,-0.018792342371657677,-0.011920764533053354,1.6507463094946565e-06,12,0.9609171450138092,0.908407167992049
n,8,mean_pairwise_dist,-0.01662498882838658,-0.0204017916562681,-0.012848186000505055,1.898153683889863e-06,12,0.9585044940312704,0.9058348066713983
n,16,mean_pairwise_dist,-0.014629536867141734,-0.017183588375485177,-0.012075485358798292,1.6331589065689306e-07,12,0.9623105863730113,0.9421587423809361
