group,value,metric,slope,ci_lo,ci_hi,p,n,intercept,r2
n,1,mean_pairwise_dist,0.0,,,,36,0.0,
n,2,mean_pairwise_dist,-0.001581794454223349,-0.005310676803087748,0.0021470878946410503,0.39468354967559177,36,0.905174661164332,0.021390703738993582
n,3,mean_pairwise_dist,-0.0042533304168905686,-0.009879758147033978,0.0013730973132528397,0.13372286760153834,36,0.7661829675086822,0.0649110563360344
n,4,mean_pairwise_dist,-0.004180094087966765,-0.008505327344446941,0.00014513916851341228,0.057647469722507276,30,0.7908991442786323,0.12278210164082716
