n,seed,mode,base_model,iters,iter,mean_perplexity,median_perplexity,std_perplexity,distinct_2,mean_pairwise_dist,frobenius,hsd
1,0,default,distilgpt2,6,0,66.41219895184342,,,,,,
1,0,default,distilgpt2,6,1,89.03848561305838,89.03848561305838,0.0,0.7542297417631345,0.9127741456031799,25.310749053955078,22.193255298917183
1,0,default,distilgpt2,6,2,129.21163913919872,129.21163913919872,0.0,0.7234664070107109,0.8931322693824768,27.540599822998047,22.654115594695284
1,0,default,distilgpt2,6,3,182.6800223546365,182.6800223546365,0.0,0.640877598152425,0.9304112195968628,24.91059112548828,20.785378495337525
1,0,default,distilgpt2,6,4,242.68908521126426,242.68908521126426,0.0,0.45260663507109006,0.9210445284843445,28.30687141418457,24.558748936602584
1,0,default,distilgpt2,6,5,336.97870748754497,336.97870748754497,0.0,0.47368421052631576,0.894639253616333,25.868741989135742,19.37202459588226
1,0,default,distilgpt2,6,6,454.3470428695707,454.3470428695707,0.0,0.486090775988287,0.8783482313156128,25.46394157409668,18.99128098967284
1,1,default,distilgpt2,6,0,66.48039810186486,,,,,,
1,1,default,distilgpt2,6,1,86.1285559537975,86.1285559537975,0.0,0.8050964187327824,0.955321192741394,30.27672004699707,26.639304379735385
1,1,default,distilgpt2,6,2,121.70143860167956,121.70143860167956,0.0,0.7026496565260059,0.9181941151618958,27.312255859375,23.303380422079577
1,1,default,distilgpt2,6,3,178.56644885654504,178.56644885654504,0.0,0.5891276864728192,0.8665065765380859,23.2580509185791,19.11514927397544
1,1,default,distilgpt2,6,4,253.87442307691427,253.87442307691427,0.0,0.5142857142857142,0.8963171243667603,26.722064971923828,21.56611561838869
1,1,default,distilgpt2,6,5,387.44926210492156,387.44926210492156,0.0,0.55,0.9044531583786011,26.893352508544922,23.104155720557667
1,1,default,distilgpt2,6,6,536.0932903648411,536.0932903648411,0.0,0.38995215311004783,0.8264787793159485,18.3676700592041,12.095446801596676
2,0,default,distilgpt2,6,0,69.50430912915843,,,,,,
2,0,default,distilgpt2,6,1,88.16404718484276,88.16404718484276,0.3459350510594774,0.7723387723387724,0.940237820148468,58.20015335083008,43.62125987845447
2,0,default,distilgpt2,6,2,116.8822817146339,116.8822817146339,0.026200466019531632,0.6877133105802048,0.9271240234375,51.86358642578125,38.02762299695761
2,0,default,distilgpt2,6,3,153.1372504767759,153.1372504767759,0.6428741341866839,0.4934131736526946,0.8986853957176208,49.58693313598633,31.96080923515466
2,0,default,distilgpt2,6,4,199.39662872865046,199.39662872865046,5.007584953333989,0.5325144508670521,0.9208685755729675,48.76673889160156,35.96268456854083
2,0,default,distilgpt2,6,5,251.86383540371042,251.86383540371042,7.931068224873513,0.43732327992459946,0.8988164663314819,41.381710052490234,28.41067745831228
2,0,default,distilgpt2,6,6,306.7267066843948,306.7267066843948,5.335476095580276,0.3462757527733756,0.8794132471084595,40.64674758911133,25.37981546070223
2,1,default,distilgpt2,6,0,69.75960790900754,,,,,,
2,1,default,distilgpt2,6,1,87.57519704051731,87.57519704051731,0.05210596494323738,0.7677304964539007,0.9451177716255188,54.65684127807617,42.961892889122076
2,1,default,distilgpt2,6,2,117.62770902927448,117.62770902927448,0.37417020810379853,0.6587939698492462,0.9330593943595886,54.95145797729492,40.281405069380035
2,1,default,distilgpt2,6,3,154.35022094136053,154.35022094136053,2.6174112089575914,0.6124807395993837,0.9187179803848267,43.16020202636719,30.24917433024637
2,1,default,distilgpt2,6,4,194.1290616276455,194.1290616276455,6.308570114776074,0.5327181208053692,0.9042369723320007,44.4366455078125,29.40803058000482
2,1,default,distilgpt2,6,5,255.27016362849878,255.27016362849878,1.8332919353962183,0.42482100238663484,0.9008737206459045,45.1590690612793,29.258375274172487
2,1,default,distilgpt2,6,6,310.1234819583128,310.1234819583128,15.106438608417733,0.38685344827586204,0.8606656789779663,43.344390869140625,24.891067652950877
4,0,default,distilgpt2,6,0,74.98109813948048,,,,,,
4,0,default,distilgpt2,6,1,91.32278554816367,91.455900649238,1.132879875101809,0.7194188101315531,0.9535643458366394,120.32569885253906,73.63162712539147
4,0,default,distilgpt2,6,2,120.03637503294259,121.21702602299634,2.178875243671709,0.6518312471024571,0.9185981154441833,109.619384765625,63.95292942651113
4,0,default,distilgpt2,6,3,155.08885694411921,156.2422979771149,3.36758450982577,0.5757575757575758,0.8988820314407349,105.56185150146484,58.823900562958976
4,0,default,distilgpt2,6,4,190.9664037638103,192.37049989592674,4.291601660747982,0.49260598093986196,0.9086549282073975,104.03809356689453,56.3381044269514
